"","x"
"1","MALAT1"
"2","AL078639.1"
"3","AQP4"
"4","CLU"
"5","SPARCL1"
"6","CST3"
"7","TF"
"8","CPE"
"9","MT-ND3"
"10","HBA2"
"11","GFAP"
"12","HBB"
"13","MT3"
"14","GJA1"
"15","SCD"
"16","MARCKSL1"
"17","GSN"
"18","SPP1"
"19","AC093330.1"
"20","CLDND1"
"21","APLP1"
"22","FAM107A"
"23","LGALS1"
"24","AGT"
"25","CD74"
"26","VIM"
"27","APOE"
"28","AQP1"
"29","PPP1R14A"
"30","S100B"
"31","A2M"
"32","SELENOP"
"33","MT2A"
"34","S100A6"
"35","STMN1"
"36","EDIL3"
"37","TMSB10"
"38","MT-ND4L"
"39","IGFBP7"
"40","RPLP1"
"41","RPS15A"
"42","NTRK2"
"43","GPRC5B"
"44","ADIRF"
"45","IGKC"
"46","HLA-B"
"47","CALM2"
"48","ZBTB20"
"49","CLDN11"
"50","RPS29"
"51","APOC1"
"52","ERMN"
"53","TUBA1A"
"54","MT-CO1"
"55","MAN1A2"
"56","PRKCA"
"57","ITM2C"
"58","MT1E"
"59","CNP"
"60","OPALIN"
"61","PON2"
"62","LINC00844"
"63","PSAP"
"64","HSPB8"
"65","MT-ND4"
"66","UBB"
"67","MT1M"
"68","CLDN5"
"69","PCM1"
"70","NFIA"
"71","RPS19"
"72","CREBRF"
"73","B2M"
"74","AHNAK"
"75","HLA-DRA"
"76","FABP5"
"77","HIPK2"
"78","AHCYL1"
"79","RPL38"
"80","SEC62"
"81","QDPR"
"82","HSPA2"
"83","GPM6A"
"84","SPARC"
"85","ATP1A2"
"86","PAQR6"
"87","PURA"
"88","GOLGA4"
"89","ATP5MD"
"90","LSM6"
"91","FUS"
"92","LIFR"
"93","HLA-DPA1"
"94","C3"
"95","MTURN"
"96","HBA1"
"97","IFITM3"
"98","TMEM144"
"99","ILF3-DT"
"100","NENF"
"101","ACTB"
"102","MT1G"
"103","COX6A1"
"104","NEBL"
"105","MAP4K4"
"106","AP3S1"
"107","TRIP11"
"108","DBI"
"109","RPL4"
"110","CDR1"
"111","RPL11"
"112","TNR"
"113","MT1X"
"114","PLLP"
"115","CHI3L1"
"116","RGS5_ENSG00000143248"
"117","ANKRD12"
"118","SCG3"
"119","PTPRZ1"
"120","SYF2"
"121","PCDH9"
"122","PRDX6"
"123","ID3"
"124","C1QB"
"125","NKAIN3"
"126","EIF5B"
"127","AP4B1"
"128","EFEMP1"
"129","PTMA"
"130","KIF13B"
"131","VCAN"
"132","CALD1"
"133","TMEM256"
"134","AIF1"
"135","OGFRL1"
"136","ZFP36L1"
"137","ATRX"
"138","MARCKS"
"139","ACP1"
"140","SNX9"
"141","TLE4"
"142","NCOA4"
"143","ANK2"
"144","TRAK2"
"145","ITM2B"
"146","SEC23B"
"147","DPYSL3"
"148","SEPT2"
"149","TAGLN"
"150","TULP4"
"151","NDUFA5"
"152","STX7"
"153","ARRDC4"
"154","ARHGAP5"
"155","EIF3L"
"156","COL18A1"
"157","KIRREL3"
"158","RPS12"
"159","CEP97"
"160","RCHY1"
"161","RALBP1"
"162","RUFY3"
"163","RNF113A"
"164","CCDC25"
"165","AP1S2"
"166","MTRNR2L12"
