"","x"
"1","AL078639.1"
"2","MBP"
"3","PLP1"
"4","SPP1"
"5","IGKC"
"6","ARHGAP5"
"7","FTL"
"8","IGLC3"
"9","APOE"
"10","ZCRB1"
"11","SEC62"
"12","MPP6"
"13","APOC1"
"14","CCDC173"
"15","FTH1"
"16","MOBP"
"17","ZEB1"
"18","ANKRD12"
"19","ARRDC4"
"20","EIF5B"
"21","IGHM"
"22","CNP"
"23","CD74"
"24","IGHG1"
"25","VIM"
"26","CRYAB"
"27","B2M"
"28","ADD3"
"29","MT-ND4L"
"30","CCDC7"
"31","ANP32A"
"32","CLU"
"33","LARP7"
"34","GPNMB"
"35","PPIG"
"36","AKT3"
"37","MT-ATP8"
"38","ZHX1"
"39","MAN1A2"
"40","HIPK3"
"41","GJA1"
"42","KTN1"
"43","BPTF"
"44","NSRP1"
"45","HLA-DRA"
"46","DEK"
"47","PNRC1"
"48","ANP32B"
"49","PMP2"
"50","ENAH"
"51","VCAN"
"52","ANTXR1"
"53","B3GAT2"
"54","SAP18"
"55","AL355075.4"
"56","LIFR"
"57","OGFRL1"
"58","APC"
"59","RHOBTB3"
"60","SPX"
"61","ZNF91"
"62","SORBS1"
"63","N4BP2L2"
"64","ESF1"
"65","NSA2"
"66","CCSER2"
"67","YBX1"
"68","GOLIM4"
"69","YTHDC1"
"70","HBB"
"71","IK"
"72","DST"
"73","ZBTB20"
"74","AHNAK"
"75","SMARCA5"
"76","DTNA"
"77","CTSB"
"78","HMGN5"
"79","ZC3H13"
"80","ERBIN"
"81","GABRG1"
"82","DNAJC15"
"83","NEBL"
"84","USP46"
"85","SLC38A1"
"86","BAZ2B"
"87","SEPT11"
"88","SDCCAG8"
"89","CSDE1"
"90","WDR78"
"91","MTURN"
"92","SCD"
"93","HBA2"
"94","TTN"
"95","NUCB2"
"96","ANKIB1"
"97","GOLGB1"
"98","MTRNR2L12"
"99","WDR49"
"100","NPM1"
"101","WASF3"
"102","CALD1"
"103","PSAP"
"104","OFD1"
"105","NEMF"
"106","IGHG2"
"107","TMSB10"
"108","ANP32E"
"109","CHI3L1"
"110","IGHG3"
"111","PABPC1"
"112","NCL"
"113","SSFA2"
"114","CCDC91"
"115","UBXN2A"
"116","NEAT1"
"117","SYNPO2"
"118","ASH1L"
"119","RSF1"
"120","TTC3"
"121","HSP90B1"
"122","FABP5"
"123","TUBA1A"
"124","WWTR1"
"125","MRO"
"126","FRA10AC1"
"127","HDDC2"
"128","CBX5"
"129","AK9"
"130","ITSN1"
"131","PTPRZ1"
"132","SCLT1"
"133","CCDC88A"
"134","CFAP54"
"135","PPP1R3C"
"136","CPE"
"137","UBAP2"
"138","AGT"
"139","GOLGA4"
"140","DAAM1"
"141","SENP6"
"142","GCC2"
"143","RNF19A"
"144","SSPN"
"145","ENKUR"
"146","PALLD"
"147","NTRK2"
"148","PSIP1"
"149","DNAJC8"
"150","CEP112"
"151","AL031056.1"
"152","ZFP36L1"
"153","ATRX"
"154","KAT6B"
"155","PTPN11"
"156","SYF2"
"157","EIF3A"
"158","S100A6"
"159","GKAP1"
"160","C2orf74"
"161","RAB13"
"162","SLC14A1"
"163","CWC27"
"164","ZC3H15"
"165","NEK7"
"166","AP1S2"
"167","TDRD3"
"168","PREX2"
"169","FUT9"
"170","RGS22"
"171","JCHAIN"
"172","METAP2"
"173","CLDN5"
"174","AHCYL1"
"175","TRAK2"
"176","SPTAN1"
"177","SLC1A2"
"178","IGFBP5"
"179","GATM"
"180","FAM228B"
"181","MPHOSPH8"
"182","TPM3"
"183","ASPH"
"184","FAM213A"
"185","FXYD1"
"186","RALBP1"
"187","S100A10"
"188","GRAMD2B"
"189","GMFB"
"190","SESN3"
"191","NFIA"
"192","PNN"
"193","KMT2E"
"194","EHBP1"
"195","SOX2"
"196","TNIK"
"197","HLA-B"
"198","CWF19L2"
"199","SETD3"
"200","REV3L"
"201","XPO1"
"202","HLA-DPA1"
"203","NIPBL"
"204","DCN"
"205","PAX6"
"206","SLC7A11"
"207","DDR2"
"208","ETNPPL"
"209","PNISR"
"210","S100B"
"211","RBM39"
"212","TRIL"
"213","NEK1"
"214","ITM2A"
"215","NAP1L1"
"216","SMARCC1"
"217","GPM6A"
"218","LRRCC1"
"219","RAB23"
"220","UTRN"
"221","SCAF11"
"222","HIPK2"
"223","NUDT3"
"224","ROCK1"
"225","TMEM47"
"226","PURA"
"227","LDHB"
"228","CCDC25"
"229","RWDD1"
"230","ACTB"
"231","CASC4"
"232","TPR"
"233","NRCAM"
"234","DAAM2"
