"","x"
"1","MALAT1"
"2","AL078639.1"
"3","AQP4"
"4","CLU"
"5","SPARCL1"
"6","HBB"
"7","GFAP"
"8","HBA2"
"9","MT3"
"10","GJA1"
"11","CPE"
"12","SPP1"
"13","APOE"
"14","CST3"
"15","FAM107A"
"16","PAQR6"
"17","PCDH9"
"18","AGT"
"19","SCD"
"20","TF"
"21","MTURN"
"22","NTRK2"
"23","MT-ND3"
"24","MT2A"
"25","HBA1"
"26","CD74"
"27","MT-CO1"
"28","CERCAM"
"29","DYNC1LI2"
"30","STMN1"
"31","BCAS1"
"32","VIM"
"33","MT1E"
"34","MARCKSL1"
"35","AL359091.1"
"36","OGFRL1"
"37","HSP90AA1"
"38","SLC14A1"
"39","TMSB10"
"40","AHCYL1"
"41","DPYSL2"
"42","NEAT1"
"43","AQP1"
"44","S100B"
"45","SEPT4"
"46","PTPRZ1"
"47","TUBA1A"
"48","LINC00844"
"49","ZBTB20"
"50","CARNS1"
"51","CLDND1"
"52","CD9"
"53","GPM6A"
"54","SLC1A2"
"55","MBP"
"56","ERMN"
"57","PMP2"
"58","ITM2C"
"59","NAP1L1"
"60","ATP1A2"
"61","ID2"
"62","MT1X"
"63","NDRG2"
"64","RPL37"
"65","ETNPPL"
"66","WSB1"
"67","RPL37A"
"68","MT-ND4L"
"69","HAPLN2"
"70","C1orf61"
"71","ZFP36L1"
"72","SEMA4D"
"73","CD99"
"74","OSBPL1A"
"75","MAP4"
"76","DST"
"77","TPPP3"
"78","LIFR"
"79","MAG"
"80","VCAN"
"81","PTMA"
"82","EFHD1"
"83","NORAD"
"84","ABCA2"
"85","CSRP1"
"86","PPP1R14A"
"87","PLA2G16"
"88","SNRNP70"
"89","APOD"
"90","PKM"
"91","QDPR"
"92","RPL23"
"93","B3GAT2"
"94","PEA15"
"95","ID3"
"96","CIRBP"
"97","HNRNPA2B1"
"98","A2M"
"99","C3"
"100","METTL7A"
"101","SLC48A1"
"102","SFRP2"
"103","LGALS1"
"104","SELENOP"
"105","SRSF2"
"106","PURA"
"107","CD44"
"108","KIF5B"
"109","PHF3"
"110","GLUL"
"111","U2SURP"
"112","FMNL2"
"113","HSPA1A"
"114","SEMA3B"
"115","FUS"
"116","AL355075.4"
"117","EWSR1"
"118","AP1S2"
"119","ARRDC4"
"120","KIF1C"
"121","SH3GLB1"
"122","NEBL"
"123","APC"
"124","PHLDB1"
"125","SHTN1"
"126","PACS2"
"127","GIPC1"
"128","VAMP2"
"129","ADIRF"
"130","S100A10"
"131","DCLK1"
"132","DDX17"
"133","GABRG1"
"134","PAIP2B"
"135","MAN2A2"
"136","NRCAM"
"137","HIPK2"
"138","ADD3"
"139","CD22"
"140","PLEKHB1"
"141","VPS13C"
"142","PDE4DIP"
"143","TSR2"
"144","ZNF664"
"145","CBR1"
"146","DDAH1"
"147","AC098850.3"
"148","BCL2L13"
"149","ARHGAP5"
"150","MAP1B"
"151","AP2M1"
"152","HSPA1B"
"153","USH1C"
"154","SYPL1"
"155","GSN"
"156","TUBB2B"
"157","CDK18"
"158","CLDN11"
"159","APC2"
"160","HIPK3"
"161","ARF1"
"162","YPEL3"
"163","GPIHBP1"
"164","ARPC3"
