"","x"
"1","CLU"
"2","MALAT1"
"3","PLP1"
"4","DYNC1LI2"
"5","CLDND1"
"6","AQP4"
"7","TUBA1A"
"8","APOE"
"9","CNP"
"10","SPP1"
"11","TF"
"12","MT-ND3"
"13","APLP1"
"14","PAQR6"
"15","AL078639.1"
"16","MT-ND4L"
"17","SELENOP"
"18","IGKC"
"19","GPRC5B"
"20","MTURN"
"21","SPARCL1"
"22","MT-ND2"
"23","MT-ND5"
"24","MT-ND1"
"25","CST3"
"26","HBA2"
"27","BCAS1"
"28","PTGDS"
"29","TMSB10"
"30","CD74"
"31","MARCKSL1"
"32","TP53INP2"
"33","GJA1"
"34","MT3"
"35","EDIL3"
"36","MAP1B"
"37","CPE"
"38","MAG"
"39","GPM6B"
"40","HBB"
"41","RPS29"
"42","FAM107A"
"43","PAIP2B"
"44","HIPK2"
"45","AQP1"
"46","NDRG2"
"47","APOC1"
"48","ARL6IP4"
"49","MAP4K4"
"50","IGFBP7"
"51","SEPT4"
"52","ANKRD40"
"53","MAP4"
"54","ENPP2"
"55","SEPT2"
"56","IGHG1"
"57","A2M"
"58","TMBIM6"
"59","STMN1"
"60","QKI"
"61","LUC7L3"
"62","GFAP"
"63","PPP1R14A"
"64","PHPT1"
"65","MRPL33"
"66","MYL9"
"67","RDH11"
"68","ENOPH1"
"69","HLA-B"
"70","APOD"
"71","HSP90AB1"
"72","RPL37A"
"73","MYRF"
"74","MYL6"
"75","S100A6"
"76","TMEM59"
"77","HSPE1"
"78","PTGES3"
"79","TYROBP"
"80","CD63"
"81","CRYAB"
"82","ANLN"
"83","ADIPOR2"
"84","IFITM3"
"85","RPE"
"86","SPARC"
"87","CLDN11"
"88","MT-ATP8"
"89","PHF14"
"90","RPL14"
"91","ALDH6A1"
"92","ATP1A2"
"93","HLA-DRA"
"94","HACD2"
"95","ADIRF"
"96","ZEB2"
"97","DCTN3"
"98","RPS27"
"99","RPL6"
"100","RPS2"
"101","HSPB8"
"102","AGT"
"103","YWHAE"
"104","FTCDNL1"
"105","ITM2B"
"106","B2M"
"107","GOLGA4"
"108","TRAFD1"
"109","RPL21"
"110","ZNF24"
"111","ARPC5"
"112","CD151"
"113","JAZF1"
"114","POLR2F"
"115","RPL28"
"116","NELFE"
"117","C3"
"118","GGA2"
"119","GYG1"
"120","ACTB"
"121","MGP"
"122","UBE2N"
"123","STK40"
"124","ARHGAP21"
"125","ATP1B1"
"126","KIF5B"
"127","ZC3H6"
"128","MTRNR2L12"
"129","RPL11"
"130","ARHGEF7"
"131","GRK6"
"132","FAM234A"
"133","FOS"
"134","PMP2"
"135","PLLP"
"136","TMEM167A"
"137","GPR137B"
"138","SLCO1A2"
"139","PRDX5"
"140","PHACTR3"
"141","ACTR6"
"142","RUFY3"
"143","HBA1"
"144","MT-ATP6"
"145","GAS7"
"146","ZNHIT2"
"147","RSPH3"
"148","TCF12"
"149","RPL7"
"150","RBBP4"
"151","VAPA"
"152","ZNF592"
"153","YES1"
"154","RAB11B"
"155","SCD"
"156","RTN3"
"157","SH3BGRL3"
"158","C1QB"
"159","POLE3"
"160","NEK5"
"161","MRPL57"
"162","PTP4A2"
"163","EIF4H"
"164","ARHGEF1"
"165","RPS6"
"166","AC036176.1"
"167","RNASE1"
"168","SNX30"
"169","ATP5PO"
"170","OR2L13"
"171","RPS4X"
"172","COX7A2L"
"173","LRRC4B"
"174","FAM219A"
"175","EIF4B"
"176","TREM2"
"177","CCNI"
"178","HLA-DPA1"
"179","PDP2"
"180","EIF5B"
"181","AIF1"
"182","NFIA"
"183","SYNC"
"184","GAB1"
"185","RPL23"
"186","API5"
"187","TBC1D17"
"188","PPIG"
"189","CERS1"
"190","HDAC2"
"191","TGOLN2"
"192","KCNMB4"
"193","ERMN"
"194","SERF2"
"195","SDE2"
"196","MT2A"
"197","FN1"
"198","UQCC2"
"199","CANX"
"200","VPS26A"
"201","SKP1"
"202","STRN4"
"203","NDUFS6"
"204","ANO10"
"205","ATP6V0A1"
"206","RPL4"
"207","ITM2C"
"208","SNHG19"
"209","ERP29"
"210","PTEN"
"211","RPL17"
"212","PABPC1"
"213","TAGLN"
"214","CLINT1"
"215","FAM107B"
"216","FGD5-AS1"
"217","FABP3"
"218","KCTD21"
"219","IGLC2"
"220","ZNF580"
"221","RHOBTB3"
"222","TTLL1"
"223","KLF9"
"224","STK11IP"
"225","DACT1"
"226","FNIP2"
"227","HNRNPU"
"228","EWSR1"
"229","DPY30"
"230","PNRC2"
"231","SAT2"
"232","PDE8A"
"233","SMIM37"
"234","VIM"
"235","FBXO21"
"236","IVNS1ABP"
"237","LPCAT2"
"238","C16orf91"
