"","x"
"1","IGKC"
"2","IGLC2"
"3","MBP"
"4","SPP1"
"5","AL078639.1"
"6","IGHG1"
"7","MALAT1"
"8","CPE"
"9","AQP4"
"10","VIM"
"11","CLU"
"12","MOBP"
"13","PLP1"
"14","CNP"
"15","APLP1"
"16","GJA1"
"17","APOE"
"18","IGHG3"
"19","SPARCL1"
"20","TMSB10"
"21","CLDND1"
"22","CD74"
"23","MT2A"
"24","IGFBP7"
"25","AQP1"
"26","MT-ND5"
"27","MT-ND4L"
"28","MT3"
"29","STMN1"
"30","FAM107A"
"31","MTURN"
"32","CNDP1"
"33","SELENOP"
"34","TUBA1A"
"35","MARCKSL1"
"36","CLDN11"
"37","ERMN"
"38","TF"
"39","PSAP"
"40","S100A6"
"41","AGT"
"42","BCAS1"
"43","HAPLN2"
"44","DST"
"45","CST3"
"46","EIF5B"
"47","MT-ATP8"
"48","CNTN2"
"49","CRYAB"
"50","A2M"
"51","APOD"
"52","IGFBP5"
"53","JCHAIN"
"54","GPRC5B"
"55","LTF"
"56","HLA-DRA"
"57","SCD"
"58","MT-ND2"
"59","B2M"
"60","NTRK2"
"61","CHI3L1"
"62","SEMA4D"
"63","PIP4K2A"
"64","MT1E"
"65","OLIG1"
"66","CD44"
"67","RASSF2"
"68","SLC14A1"
"69","KLK6"
"70","MAG"
"71","PAQR6"
"72","SEPT4"
"73","ATRX"
"74","SORT1"
"75","PPP1R2"
"76","TP53INP2"
"77","PTGDS"
"78","NDRG2"
"79","PPP1R14A"
"80","EDIL3"
"81","ZEB2"
"82","ARRDC4"
"83","CCT3"
"84","ANLN"
"85","CDC42SE2"
"86","CCDC88A"
"87","PCDH9"
"88","QDPR"
"89","ACTG1"
"90","ANKRD12"
"91","ZCRB1"
"92","GLUL"
"93","FABP5"
"94","STMN4"
"95","TTLL7"
"96","ATL1"
"97","KIF5B"
"98","ATP1A2"
"99","MAN2A1"
"100","RGS5_ENSG00000143248"
"101","SEPT11"
"102","SHTN1"
"103","PKP4"
"104","CARNS1"
"105","UGT8"
"106","PURA"
"107","APC"
"108","APOC1"
"109","PAIP2B"
"110","NECAB1"
"111","TTYH2"
"112","RPS20"
"113","ST18"
"114","PLEKHB1"
"115","ATP1B1"
"116","PALLD"
"117","ESF1"
"118","MESD"
"119","GOLGB1"
