"","x"
"1","IGKC"
"2","IGLC2"
"3","IGHG3"
"4","IGHG1"
"5","VIM"
"6","MBP"
"7","APOC1"
"8","CHI3L1"
"9","PLP1"
"10","CLU"
"11","SPP1"
"12","CNP"
"13","MALAT1"
"14","CLDND1"
"15","AL078639.1"
"16","MOBP"
"17","PPP1R14A"
"18","GPNMB"
"19","APOE"
"20","FTL"
"21","AQP4"
"22","CD74"
"23","S100A6"
"24","MARCKSL1"
"25","IGLC3"
"26","RPS27"
"27","MAG"
"28","TF"
"29","GJA1"
"30","LTF"
"31","CLDN11"
"32","MT-ND3"
"33","HLA-B"
"34","HLA-DRA"
"35","TMSB10"
"36","SPARCL1"
"37","CARNS1"
"38","EDIL3"
"39","ERMN"
"40","APLP1"
"41","RPL39"
"42","MOG"
"43","SEPT4"
"44","RPS29"
"45","RNASE1"
"46","RPL41"
"47","ENPP2"
"48","PAQR6"
"49","CNTN2"
"50","CST3"
"51","S100A10"
"52","IGFBP7"
"53","OLIG1"
"54","C3"
"55","MT2A"
"56","CTSD"
"57","UGT8"
"58","STMN1"
"59","C4orf48"
"60","ATP1A2"
"61","PCDH9"
"62","PLLP"
"63","MAL"
"64","CA2"
"65","AQP1"
"66","A2M"
"67","JCHAIN"
"68","GPRC5B"
"69","SIRT2"
"70","OPALIN"
"71","MT3"
"72","RPS21"
"73","SPOCK3"
"74","SEPT8"
"75","LANCL1"
"76","TMEM144"
"77","DYNC1LI2"
"78","TSC22D4"
"79","PSAP"
"80","GPR37"
"81","RPS28"
"82","CTSB"
"83","ATP8A1"
"84","PLEKHH1"
"85","EVI2A"
"86","SLAIN1"
"87","RPS19"
"88","HAPLN2"
"89","RPL11"
"90","SSR4"
"91","PIP4K2A"
"92","RAPGEF5"
"93","QDPR"
"94","RPS20"
"95","SLC24A2"
"96","CIRBP"
"97","TRIM2"
"98","ITM2C"
"99","MBNL2"
"100","AGT"
"101","ELOVL1"
"102","CPE"
"103","CHIT1"
"104","GPM6B"
"105","EFEMP1"
"106","DCN"
"107","ABHD17A"
"108","ATP1B1"
"109","IFI6"
"110","GLTP"
"111","SEMA4D"
"112","GLDN"
"113","RASSF2"
"114","RHOU"
"115","LGALS3BP"
"116","MAP1B"
"117","TUBB4A"
"118","RPS18"
"119","LGALS3"
