"","x"
"1","IGKC"
"2","IGLC2"
"3","SNAP25"
"4","IGHG1"
"5","VSNL1"
"6","CHN1"
"7","SPP1"
"8","APOC1"
"9","RTN1"
"10","CRYAB"
"11","SYT1"
"12","GFAP"
"13","PLP1"
"14","ENC1"
"15","VIM"
"16","IGHG3"
"17","MBP"
"18","UCHL1"
"19","SELENOP"
"20","APOE"
"21","LINC00844"
"22","IGHA1"
"23","CLDND1"
"24","TF"
"25","AL078639.1"
"26","NEFL"
"27","MT-CO1"
"28","FTL"
"29","S100B"
"30","GPM6A"
"31","CCK"
"32","BASP1"
"33","CNP"
"34","TSPAN7"
"35","AQP4"
"36","NRGN"
"37","YWHAG"
"38","GPNMB"
"39","TUBA1B"
"40","IDS"
"41","GNAS"
"42","S100A8"
"43","IGLC3"
"44","CD74"
"45","SPARCL1"
"46","NPY"
"47","MALAT1"
"48","SLC17A7"
"49","OLFM1"
"50","SCD"
"51","YWHAH"
"52","STMN2"
"53","THY1"
"54","EIF4A2"
"55","PPP1R14A"
"56","HBB"
"57","ENO2"
"58","MT-CO3"
"59","DKK3"
"60","SLC1A2"
"61","S100A9"
"62","MT2A"
"63","B2M"
"64","HSPA2"
"65","CHI3L1"
"66","APOD"
"67","TPT1"
"68","AQP1"
"69","MARCKSL1"
"70","QKI"
"71","LAMP2"
"72","TSPYL1"
"73","TMSB10"
"74","PTGDS"
"75","MAL"
"76","NSF"
"77","STXBP1"
"78","C1QB"
"79","TSC22D4"
"80","CALM3"
"81","GPM6B"
"82","PTMA"
"83","PNMA2"
"84","ENPP2"
"85","TMEM144"
"86","BEX1"
"87","CPE"
"88","C3"
"89","PPP3CA"
"90","SYN2"
"91","MOBP"
"92","PREPL"
"93","NELL2"
"94","TUBB2A"
"95","DNM1"
"96","GJA1"
"97","EFHD1"
"98","MDH1"
"99","HBA2"
"100","SNRPN"
"101","SPARC"
"102","CLDN11"
"103","CLU"
"104","IGFBP7"
"105","RPL12"
"106","RNASE1"
"107","EDIL3"
"108","MT3"
"109","LY6H"
"110","A2M"
"111","NPTN"
"112","MAP1B"
"113","HLA-DRA"
"114","JCHAIN"
"115","S100A6"
"116","GPRC5B"
"117","SNCA"
"118","CHGA"
"119","RPL30"
"120","GAP43"
"121","MAG"
"122","FAM107A"
