"","x"
"1","GFAP"
"2","MT-CO1"
"3","MALAT1"
"4","CLU"
"5","MT-ND3"
"6","AQP4"
"7","MT-ND5"
"8","TF"
"9","PAQR6"
"10","AL078639.1"
"11","SPP1"
"12","MT-ND4L"
"13","APOE"
"14","CNP"
"15","SPARCL1"
"16","IGKC"
"17","CPE"
"18","CST3"
"19","RPLP1"
"20","FAM107A"
"21","RPL37A"
"22","CD74"
"23","MT-ND2"
"24","RPS29"
"25","RPL39"
"26","HIPK2"
"27","MT-ND4"
"28","NPY"
"29","BCAS1"
"30","RPS27"
"31","TP53INP2"
"32","MT-CO3"
"33","MARCKS"
"34","PTGDS"
"35","MT-ATP6"
"36","HLA-B"
"37","MT3"
"38","MT-ATP8"
"39","HLA-DRA"
"40","RPS21"
"41","MTURN"
"42","AQP1"
"43","GJA1"
"44","IGFBP7"
"45","DYNC1LI2"
"46","A2M"
"47","AGT"
"48","ZFAS1"
"49","DNM3"
"50","RPL23A"
"51","RPL7"
"52","MT-ND1"
"53","RPS20"
"54","PAIP2B"
"55","MTRNR2L12"
"56","C3"
"57","NFIC"
"58","RPL4"
"59","RPL11"
"60","TMSB10"
"61","ATP1A2"
"62","CRYAB"
"63","PLP1"
"64","LIMCH1"
"65","RPL38"
"66","RPL34"
"67","PKP4"
"68","DHCR24"
"69","MAP4K4"
"70","PTPRZ1"
"71","SELENOP"
"72","NAP1L1"
"73","RPL26"
"74","CDK14"
"75","SEC62"
"76","CLASP2"
"77","AHCYL1"
"78","KIF21A"
"79","SPARC"
"80","ANKRD12"
"81","EFS"
"82","NACA"
"83","ASPA"
"84","MAG"
"85","GMPPB"
"86","RPL17"
"87","BAALC"
"88","ADD3"
"89","PHLDB1"
"90","KIF1C"
"91","SECISBP2L"
"92","MAP4"
"93","EPB41L2"
"94","RPL30"
"95","SEPT4"
"96","AGA"
"97","CCDC88A"
"98","MYO10"
"99","NTRK2"
"100","FGF1"
"101","FLOT1"
"102","OGFRL1"
"103","NTM"
"104","COMMD2"
"105","LSM8"
"106","NIPAL3"
"107","BCAN"
"108","KIAA0930"
"109","OLR1"
"110","DIXDC1"
"111","HBS1L"
"112","KCTD12"
"113","ARGLU1"
"114","RPL37"
"115","UQCRB"
"116","DMTF1"
"117","RSRP1"
"118","EDF1"
"119","EEF2"
"120","MAP1B"
"121","SOX8"
"122","ID2"
"123","SAMD4B"
"124","HLA-DPB1"
"125","EIF5B"
"126","CLDN11"
"127","PPIG"
"128","RRM2B"
"129","EVL"
"130","DIP2B"
"131","SLC1A2"
"132","PNRC1"
"133","LAPTM5"
"134","RAC1"
"135","EFEMP1"
"136","DNAJB14"
"137","SCCPDH"
"138","C4orf3"
"139","PDIA4"
"140","ZNF451"
"141","MTSS1L"
"142","HNRNPDL"
"143","DDB1"
"144","MEGF9"
"145","MRPS16"
"146","RHOA"
"147","SRGAP2"
"148","CPNE3"
"149","SPAG9"
"150","SH3GLB2"
"151","RAB30"
"152","HSBP1"
"153","HMOX2"
"154","WNK1"
"155","ABCE1"
"156","MT1X"
"157","SMPD1"
"158","ELAVL3"
"159","TMEM19"
"160","PRMT2"
"161","CYB5B"
"162","COTL1"
"163","MT2A"
"164","TNR"
"165","CD99"
"166","HMGN2"
"167","PDCD6IP"
"168","AMD1"
"169","HNRNPU"
"170","RTN3"
"171","NAT8L"
"172","KLC1"
"173","SRSF8"
"174","TMEM101"
"175","CHMP2A"
"176","SRSF1"
"177","KIAA2026"
"178","C6orf89"
"179","C1QC"
"180","NEK7"
"181","PFKFB2"
"182","TNS2"
"183","SLC1A3"
"184","TYROBP"
"185","LENG8"
"186","RDX"
"187","YIPF3"
"188","KIF5B"
"189","C9orf78"
"190","CADM1"
"191","SH3GL3"
"192","MED8"
"193","POLR2C"
"194","SF3A1"
"195","PABPN1"
"196","GOLIM4"
"197","RASSF2"
"198","ZMYM4"
"199","SELENOK"
"200","ETNPPL"
"201","GALNT15"
"202","COMMD6"
"203","ZFHX3"
"204","MAPK10"
"205","TJP1"
"206","CCNI"
"207","DDAH1"
"208","DOHH"
"209","GNAQ"
"210","HLA-A"
"211","SYP"
"212","ACADM"
"213","DTNA"
"214","RHOQ"
"215","ITPKB"
"216","RGS5_ENSG00000143248"
"217","PSMF1"
"218","RPS15A"
"219","LMO4"
"220","LRP6"
"221","RAP1B"
"222","ADAP1"
"223","KCNQ1OT1"
"224","PA2G4"
"225","TNRC6C"
"226","UTY"
"227","HERC4"
"228","EPN1"
"229","RPL18A"
"230","GAB2"
"231","CKLF"
"232","ACTR1A"
"233","LPAR1"
"234","TMEM63A"
"235","PKM"
"236","RALA"
"237","SYNM"
"238","GDI2"
"239","ADIRF"
"240","ZBTB38"
"241","DCTN4"
"242","RPL14"
"243","AGO2"
"244","EFHD1"
"245","PDGFRA"
"246","TBCA"
"247","IVNS1ABP"
"248","RANGAP1"
"249","RTL8C"
"250","AP2B1"
"251","PTPN11"
"252","NDUFA6"
"253","ARID1A"
"254","RPS28"
"255","EPAS1"
"256","FXYD1"
"257","TMED3"
"258","RAB5B"
"259","GPM6A"
"260","PURA"
"261","MAPRE1"
"262","SYF2"
"263","EIF4E"
"264","CTNND2"
"265","RPN2"
"266","KIF5C"
"267","ZNF549"
"268","SLC41A1"
"269","DDX6"
"270","UFM1"
"271","SOX2"
"272","ATP5PO"
"273","SPX"
"274","AL359091.1"
"275","IGFBP5"
"276","ZBTB37"
"277","MAT2B"
"278","ZSCAN18"
"279","HADHA"
"280","BAZ1B"
"281","ATAD1"
"282","PPM1K"
"283","ZNF655"
"284","TSPAN3"
"285","CLPTM1L"
"286","ZBTB4"
"287","TMEM109"
"288","FASTK"
"289","FAM199X"
"290","ARRDC4"
"291","TRIR"
"292","AKR1B1"
"293","DYNC1H1"
"294","DUSP1"
"295","HLA-DPA1"
"296","MBNL1"
"297","EPB41L1"
"298","PINK1"
"299","MLLT1"
"300","PLD4"
"301","SESTD1"
"302","APBB2"
"303","NRBP2"
"304","AKTIP"
"305","STARD7"
"306","RPL36AL"
"307","PBRM1"
"308","TAOK2"
"309","SPTBN1"
"310","HSPA5"
"311","METTL9"
"312","CCNL2"
"313","DLG1"
"314","OTUD7A"
"315","DST"
"316","EML1"
"317","DCAF16"
"318","CNTN1"
"319","KLF3"
"320","RPS16"
"321","CYP4F3"
"322","SERINC3"
