"","x"
"1","PLP1"
"2","MBP"
"3","IGLC3"
"4","SELENOP"
"5","MALAT1"
"6","AL078639.1"
"7","SPP1"
"8","CRYAB"
"9","IGKC"
"10","CLDND1"
"11","IGHG1"
"12","APOE"
"13","TMSB10"
"14","SAMHD1"
"15","FTH1"
"16","AL355075.4"
"17","MTRNR2L12"
"18","RPL30"
"19","DCN"
"20","RPL38"
"21","APLP1"
"22","RPL37A"
"23","EIF5B"
"24","RPS27"
"25","IGLC2"
"26","LUC7L3"
"27","B2M"
"28","IFI27"
"29","ZBTB20"
"30","PNISR"
"31","CLU"
"32","MT-CO1"
"33","CLDN11"
"34","CD74"
"35","RPL37"
"36","CNP"
"37","PURA"
"38","B3GAT2"
"39","DDR2"
"40","RGS5_ENSG00000143248"
"41","IGHG3"
"42","ARRDC4"
"43","ANKRD12"
"44","SLC7A11"
"45","IGFBP5"
"46","TPT1"
"47","MTRNR2L8"
"48","ZCRB1"
"49","PRRC2C"
"50","HMGN5"
"51","NTRK2"
"52","VCAN"
"53","AHNAK"
"54","NTM"
"55","MT-ND2"
"56","MTSS1L"
"57","NFIA"
"58","ARHGAP5"
"59","IFI44L"
"60","TMSB4X"
"61","A2M"
"62","TMEM47"
"63","ATP1A2"
"64","CALD1"
"65","RPL32"
"66","FBLN1"
"67","PAX6"
"68","ZHX1"
"69","ACTA2"
"70","ENAH"
"71","SOX2"
"72","FAM213A"
"73","ATRX"
"74","RPS18"
"75","AEBP1"
"76","KIF3B"
"77","GRAMD2B"
"78","CLDN5"
"79","TIMP3"
"80","TCF4"
"81","ID3"
"82","MT-ND1"
"83","TAGLN"
"84","APC"
"85","BAZ2B"
"86","MOBP"
"87","SYNE1"
"88","RBM25"
"89","ASH1L"
"90","PRELP"
"91","RAB13"
"92","MAP3K20"
"93","TTN"
"94","OGFRL1"
"95","ZNF106"
"96","NFIB"
"97","RPS29"
"98","CELF2"
"99","PRKCB"
"100","DST"
"101","SLC1A2"
"102","WWTR1"
"103","MGP"
"104","WASF3"
"105","MPP6"
"106","TNRC6B"
"107","CD24"
"108","USP46"
"109","MAN1A2"
"110","COL1A2"
"111","SPARCL1"
"112","RPL26"
"113","OPTN"
"114","PPM1K"
"115","PPIG"
"116","MT-ATP8"
"117","SESN3"
"118","BPTF"
"119","BOD1L1"
"120","ID4"
"121","SORBS1"
"122","RPL10"
"123","PALLD"
"124","PHF14"
"125","NCOR1"
"126","RALBP1"
"127","CTGF"
"128","MT1X"
"129","KTN1"
"130","CAVIN2"
"131","CALM2"
"132","IRS2"
"133","MRO"
"134","SYNPO2"
"135","DCLK1"
"136","APOD"
"137","LARP7"
"138","AQP1"
"139","LPP"
"140","MGST1"
"141","RPS23"
"142","MOB1B"
"143","MSI2"
"144","PPP3CA"
"145","LMO4"
"146","RHOBTB3"
"147","NSRP1"
"148","C1QB"
"149","CCDC7"
"150","GOLGA4"
"151","ANTXR1"
"152","SLC5A3"
"153","GOLIM4"
"154","SPX"
"155","ANP32E"
"156","CRLF1"
"157","NEBL"
"158","HIPK1"
"159","ERBIN"
"160","PTPRZ1"
"161","ESF1"
"162","PDE4DIP"
"163","DAAM1"
"164","SPTAN1"
"165","PREX2"
"166","ZEB1"
"167","LINC01094"
"168","RPL34"
"169","TRPS1"
"170","LHX2"
"171","PTPN11"
"172","GOLGB1"
"173","RPLP2"
"174","NUDT3"
"175","KLF2"
"176","AKAP9"
"177","TTC3"
"178","CCDC88A"
"179","MPHOSPH8"
"180","CWF19L2"
"181","NR2F1"
"182","ID1"
"183","EZR"
"184","UTRN"
"185","ZC3H13"
"186","RPS15"
"187","ZFHX3"
"188","PPP1R12A"
"189","AGT"
"190","SEPT11"
"191","SNTA1"
"192","PTMA"
"193","UPF2"
"194","NEK7"
"195","CFH"
"196","SH3BGR"
"197","AHCYL1"
"198","COL27A1"
"199","TPD52L1"
"200","ID2"
"201","GOLM1"
"202","TRIL"
"203","PLPP3"
"204","GABRG1"
"205","AKT3"
"206","KCNJ6"
"207","CLIP1"
"208","OFD1"
"209","AL031056.1"
"210","LIFR"
"211","ITSN1"
"212","KAT6B"
"213","PHIP"
"214","ACTB"
"215","C14orf132"
"216","EPAS1"
"217","EMP1"
"218","MKLN1"
"219","ZFP36L1"
"220","TROVE2"
"221","MYL9"
"222","C1S"
"223","C9orf78"
"224","BAZ1A"
"225","MACF1"
"226","ITM2A"
"227","ARHGEF12"
"228","SAMD4A"
"229","ANXA1"
"230","CEP126"
"231","FN1"
"232","SPOP"
"233","GSTM3"
"234","ZMAT3"
"235","WDR78"
"236","CRIP2"
"237","CYP4F3"
"238","SCAF11"
"239","MYBPC1"
"240","MT1M"
"241","RB1CC1"
"242","FGF2"
"243","FRA10AC1"
"244","ARHGEF26"
"245","LRRIQ1"
"246","EFEMP1"
"247","YIPF4"
"248","C6orf62"
"249","MLC1"
"250","SON"
"251","TAF3"
"252","NCOA1"
"253","FUT9"
"254","SMARCA5"
